year,type,weight_lbs,est_weight,ott,city,state,state_code,latitude,longitude,nearest_station
2013,Giant Pumpkin,1072.0,1077.0,367.0,Anacortes,Washington,WA,48.5127778,-122.6113889,USW00024217
2013,Giant Pumpkin,1071.0,1264.0,389.0,Ashland,Wisconsin,WI,46.5925,-90.8836111,USC00471604
2013,Giant Pumpkin,1067.0,994.0,356.0,Williamston,Michigan,MI,42.6888889,-84.2830556,USW00014826
2013,Giant Pumpkin,1066.0,994.0,356.0,New Richmond,Wisconsin,WI,45.1230556,-92.5363889,USW00014991
2013,Giant Pumpkin,1065.0,979.0,354.0,Cheyenne,Wyoming,WY,41.14,-104.8197222,USC00481676
2013,Giant Pumpkin,1064.0,1179.0,379.0,Half Moon Bay,California,CA,37.4636111,-122.4275,USW00023272
2013,Giant Pumpkin,1063.0,1002.0,357.0,Shakopee,Minnesota,MN,44.79805560000001,-93.5266667,USC00211448
2013,Giant Pumpkin,1058.0,1170.0,378.0,Edgar,Wisconsin,WI,44.9272222,-89.9633333,USC00475120
2013,Giant Pumpkin,1058.0,933.0,348.0,Clinton,Iowa,IA,41.84444439999999,-90.1886111,USC00131635
2013,Giant Pumpkin,1057.2,925.0,347.0,Stoughton,Wisconsin,WI,42.9169444,-89.2177778,USW00014837
2013,Giant Pumpkin,1056.0,1081.0,367.0,Clayton,California,CA,37.9411111,-121.9347222,USW00093241
2013,Giant Pumpkin,1055.0,1113.0,371.0,Norway,Maine,ME,44.21388889999999,-70.5452778,USC00173570
2013,Giant Pumpkin,1052.0,963.0,352.0,Little Valley,New York,NY,42.2525,-78.8058333,USC00301625
2013,Giant Pumpkin,1052.0,1125.0,373.0,Olympia,Washington,WA,47.03805560000001,-122.8994444,USW00024227
2013,Giant Pumpkin,1050.0,1125.0,373.0,Citrus Heights,California,CA,38.7072222,-121.28,USW00023271
2013,Giant Pumpkin,1046.0,1049.0,363.0,Salinas,California,CA,36.6777778,-121.65444440000002,USW00023272
2013,Giant Pumpkin,1045.0,1045.0,363.0,San Jose,California,CA,37.3394444,-121.8938889,USW00023272
2013,Giant Pumpkin,1044.0,1018.0,359.0,Albany,Oregon,OR,44.6366667,-123.1047222,USW00024232
2013,Giant Pumpkin,1042.0,1089.0,368.0,Eyota,Minnesota,MN,43.9883333,-92.2283333,USW00014925
2013,Giant Pumpkin,1039.5,979.0,355.0,Prestonsburg,Kentucky,KY,37.66555560000001,-82.7716667,USW00003889
2013,Giant Pumpkin,1038.5,963.0,352.0,Belmont,New Hampshire,NH,43.4452778,-71.4783333,USC00272800
2013,Giant Pumpkin,1038.0,1146.0,375.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1037.5,1033.0,361.0,Sumner,Washington,WA,47.2033333,-122.2391667,USW00024233
2013,Giant Pumpkin,1037.0,990.0,356.0,Riverton,Wyoming,WY,43.025,-108.3794444,USC00487760
